email,name,last_name,dni,birthdate,is_student,is_tutor,group
alonso@palcam.cat,David,Alonso,47123984K,2005-03-12,True,False,3
rubio@palcam.cat,Lucia,Rubio,39482105L,2004-10-25,True,False,3
blanco@palcam.cat,Jorge,Blanco,28471935M,2005-06-02,True,False,3
diez@palcam.cat,Paula,Diez,50293841N,2004-12-14,True,False,3
bravo@palcam.cat,Marcos,Bravo,19384726P,2005-01-29,True,False,3
mora@palcam.cat,Irene,Mora,48201938Q,2004-04-18,True,False,3
ortiz@palcam.cat,Raul,Ortiz,37284910R,2005-09-08,True,False,3
calvo@palcam.cat,Julia,Calvo,29384712S,2004-07-21,True,False,3
ramos@palcam.cat,Hugo,Ramos,58392014T,2005-11-03,True,False,3
cano@palcam.cat,Alba,Cano,10293847U,2004-02-27,True,False,3
